6E5F	23DF9
6E60	23DD3
6E61	6DAB
6E62	6DAE
6E63	6DB4
6E64	6DC2
6E65	6D34
6E66	6DC8
6E67	6DCE
6E68	6DCF
6E69	6DD0
6E6A	6DDF
6E6B	6DE9
6E6C	6DF6
6E6D	6E36
6E6E	6E1E
6E6F	6E22
6E70	6E27
6E71	3D11
6E72	6E32
6E73	6E3C
6E74	6E48
6E75	6E49
6E76	6E4B
6E77	6E4C
6E78	6E4F
6E79	6E51
6E7A	6E53
6E7B	6E54
6E7C	6E57
6E7D	6E63
6E7E	3D1E
6F21	6E93
6F22	6EA7
6F23	6EB4
6F24	6EBF
6F25	6EC3
6F26	6ECA
6F27	6ED9
6F28	6F35
6F29	6EEB
6F2A	6EF9
6F2B	6EFB
6F2C	6F0A
6F2D	6F0C
6F2E	6F18
6F2F	6F25
6F30	6F36
6F31	6F3C
6F32	23F7E
6F33	6F52
6F34	6F57
6F35	6F5A
6F36	6F60
6F37	6F68
6F38	6F98
6F39	6F7D
6F3A	6F90
6F3B	6F96
6F3C	6FBE
6F3D	6F9F
6F3E	6FA5
6F3F	6FAF
6F40	3D64
6F41	6FB5
6F42	6FC8
6F43	6FC9
6F44	6FDA
6F45	6FDE
6F46	6FE9
6F47	24096
6F48	6FFC
6F49	7000
6F4A	7007
6F4B	700A
6F4C	7023
6F4D	24103
6F4E	7039
6F4F	703A
6F50	703C
6F51	7043
6F52	7047
6F53	704B
6F54	3D9A
6F55	7054
6F56	7065
6F57	7069
6F58	706C
6F59	706E
6F5A	7076
6F5B	707E
6F5C	7081
6F5D	7086
6F5E	7095
6F5F	7097
6F60	70BB
6F61	241C6
6F62	709F
6F63	70B1
6F64	241FE
6F65	70EC
6F66	70CA
6F67	70D1
6F68	70D3
6F69	70DC
6F6A	7103
6F6B	7104
6F6C	7106
6F6D	7107
6F6E	7108
6F6F	710C
6F70	3DC0
6F71	712F
6F72	7131
6F73	7150
6F74	714A
6F75	7153
6F76	715E
6F77	3DD4
6F78	7196
6F79	7180
6F7A	719B
6F7B	71A0
6F7C	71A2
6F7D	71AE
6F7E	71AF
7021	71B3
7022	243BC
7023	71CB
7024	71D3
7025	71D9
7026	71DC
7027	7207
7028	3E05
7029	FA49
702A	722B
702B	7234
702C	7238
702D	7239
702E	4E2C
702F	7242
7030	7253
7031	7257
7032	7263
7033	24629
7034	726E
7035	726F
7036	7278
7037	727F
7038	728E
7039	246A5
703A	72AD
703B	72AE
703C	72B0
703D	72B1
703E	72C1
703F	3E60
7040	72CC
7041	3E66
7042	3E68
7043	72F3
7044	72FA
7045	7307
7046	7312
7047	7318
7048	7319
7049	3E83
704A	7339
704B	732C
704C	7331
704D	7333
704E	733D
704F	7352
7050	3E94
7051	736B
7052	736C
7053	24896
7054	736E
7055	736F
7056	7371
7057	7377
7058	7381
7059	7385
705A	738A
705B	7394
705C	7398
705D	739C
705E	739E
705F	73A5
7060	73A8
7061	73B5
7062	73B7
7063	73B9
7064	73BC
7065	73BF
7066	73C5
7067	73CB
7068	73E1
7069	73E7
706A	73F9
706B	7413
706C	73FA
706D	7401
706E	7424
