0x7E28	U+2167	# Ⅷ
0x7E29	U+2168	# Ⅸ
0x7E2A	U+2169	# Ⅹ
0x7E2B	U+216A	# Ⅺ
0x7E2C	U+216B	# Ⅻ
0x7E2D	U+2470	# ⑰
0x7E2E	U+2471	# ⑱
0x7E2F	U+2472	# ⑲
0x7E30	U+2473	# ⑳
0x7E31	U+2474	# ⑴
0x7E32	U+2475	# ⑵
0x7E33	U+2476	# ⑶
0x7E34	U+2477	# ⑷
0x7E35	U+2478	# ⑸
0x7E36	U+2479	# ⑹
0x7E37	U+247A	# ⑺
0x7E38	U+247B	# ⑻
0x7E39	U+247C	# ⑼
0x7E3A	U+247D	# ⑽
0x7E3B	U+247E	# ⑾
0x7E3C	U+247F	# ⑿
0x7E3D	U+3251	# ㉑
0x7E3E	U+3252	# ㉒
0x7E3F	U+3253	# ㉓
0x7E40	U+3254	# ㉔
0x7E41	U+1F110	# 🄐
0x7E42	U+1F111	# 🄑
0x7E43	U+1F112	# 🄒
0x7E44	U+1F113	# 🄓
0x7E45	U+1F114	# 🄔
0x7E46	U+1F115	# 🄕
0x7E47	U+1F116	# 🄖
0x7E48	U+1F117	# 🄗
0x7E49	U+1F118	# 🄘
0x7E4A	U+1F119	# 🄙
0x7E4B	U+1F11A	# 🄚
0x7E4C	U+1F11B	# 🄛
0x7E4D	U+1F11C	# 🄜
0x7E4E	U+1F11D	# 🄝
0x7E4F	U+1F11E	# 🄞
0x7E50	U+1F11F	# 🄟
0x7E51	U+1F120	# 🄠
0x7E52	U+1F121	# 🄡
0x7E53	U+1F122	# 🄢
0x7E54	U+1F123	# 🄣
0x7E55	U+1F124	# 🄤
0x7E56	U+1F125	# 🄥
0x7E57	U+1F126	# 🄦
0x7E58	U+1F127	# 🄧
0x7E59	U+1F128	# 🄨
0x7E5A	U+1F129	# 🄩
0x7E5B	U+3255	# ㉕
0x7E5C	U+3256	# ㉖
0x7E5D	U+3257	# ㉗
0x7E5E	U+3258	# ㉘
0x7E5F	U+3259	# ㉙
0x7E60	U+325A	# ㉚
0x7E61	U+2460	# ①
0x7E62	U+2461	# ②
0x7E63	U+2462	# ③
0x7E64	U+2463	# ④
0x7E65	U+2464	# ⑤
0x7E66	U+2465	# ⑥
0x7E67	U+2466	# ⑦
0x7E68	U+2467	# ⑧
0x7E69	U+2468	# ⑨
0x7E6A	U+2469	# ⑩
0x7E6B	U+246A	# ⑪
0x7E6C	U+246B	# ⑫
0x7E6D	U+246C	# ⑬
0x7E6E	U+246D	# ⑭
0x7E6F	U+246E	# ⑮
0x7E70	U+246F	# ⑯
0x7E71	U+2776	# ❶
0x7E72	U+2777	# ❷
0x7E73	U+2778	# ❸
0x7E74	U+2779	# ❹
0x7E75	U+277A	# ❺
0x7E76	U+277B	# ❻
0x7E77	U+277C	# ❼
0x7E78	U+277D	# ❽
0x7E79	U+277E	# ❾
0x7E7A	U+277F	# ❿
0x7E7B	U+24EB	# ⓫
0x7E7C	U+24EC	# ⓬
0x7E7D	U+325B	# ㉛
